gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
PGAM1P11,0.114596401,0,0,0,0.110547565,0,0,0,0,0,0
RNU6-828P,0,0,0,0.12311737,0.213223904,0.128145153,0,0,0,0,0
KIF1B,7.664520679,7.643058476,7.532019557,7.600273656,7.616712025,7.48658863,7.600734706,7.471115957,7.441991949,7.482781494,7.404466966
RNU6-37P,0,0.316774277,0.098033997,0,0,0,0,0,0,0,0
RN7SL731P,0,0,0,0,0,0,0,0,0,0,0
PGD,7.434967473,7.443834366,7.614048602,7.516417021,7.667891944,7.289963496,7.309607929,7.351129503,7.464825653,7.450334984,7.540003474
CENPS-CORT,0,0,0,0,0,0,0,0,0,0,0
CENPS,1.163551432,1.398870301,0.507803285,0.919039602,1.080610588,0.722652987,1.214288682,1.090378352,0.315872737,0.405700059,0.85607317
CORT,0,0.113497158,0.098033997,0,0.309075793,0,0.233931168,0,0,0,0
DFFA,7.08222934,7.18934954,7.008545071,6.976111903,7.14771226,7.462477421,7.369962131,7.448334345,7.327205968,7.276161155,7.326515965
PEX14,5.072769874,5.022868918,5.26857038,5.266975516,5.209310779,4.865175039,4.95893586,5.184111116,5.295166071,5.386638367,5.146877203
RN7SL614P,0.114596401,0,0.098033997,0.12311737,0,0.128145153,0.121701854,0.120178238,0,0,0
CASZ1,3.594317354,3.551149732,3.639367506,3.70338401,3.746690777,3.667193781,3.657447847,3.774301408,3.779023305,3.979594307,3.743579846
HSPE1P24,0,0,0,0,0,0,0,0,0,0,0
C1orf127,0,0,0,0,0,0,0,0,0,0,0
TARDBP,7.004475994,6.919701115,6.58698587,6.583100502,6.513949379,6.969055277,6.857370781,7.05855123,6.616032537,6.563827386,6.47142066
MASP2,0,0.113497158,0,0,0,0,0.121701854,0,0,0,0.1123805
SRM,6.23500395,6.142663174,6.352624011,6.219083918,6.340493148,6.250699048,6.247756077,6.198668107,6.5409109,6.350755582,6.353454592
EXOSC10,6.892485423,6.850784623,7.038947904,7.046830532,6.99125103,7.03695857,6.786672665,7.120205927,6.97064567,7.042937835,7.099059446
EXOSC10-AS1,0.581141739,0.494914811,0.826561194,0.985457987,0.563477945,0.455808023,0.526156822,0.43026014,0.86067,0.981264292,1.093659295
MTOR,7.660399693,7.744553344,7.950584915,7.911802248,7.834702658,7.768703968,7.666588724,7.591013936,7.85833926,7.773559275,7.759221618
MTOR-AS1,0,0,0,0.236549226,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,0,0,0,0,0
RNU6-291P,0,0,0,0,0,0,0,0,0,0,0
